Palabra,Agrado,Activacion,Imaginabilidad,stdev_agrd,stdev_act,stdev_imag
población_N,1.8,2,2.6,0.4472,0.7071,0.5477
obra_N,2.2,2.4,2.4,0.4472,0.5477,0.8944
dormir_V,3,1.4,3,0,0.8944,0
dar_V,2.8,3,3,0.4472,0,0
realizar_V,2.6,3,2.8,0.5477,0,0.4472
haber_V,2,1.8,1.8,0,0.8367,0.4472
amor_N,3,2.6,2.4,0,0.5477,0.8944
aparecer_V,2,2.6,2.6,0,0.8944,0.5477
seguir_V,2.4,2.6,2.8,0.5477,0.8944,0.4472
especie_N,2.2,1.8,2.6,0.4472,0.4472,0.8944
dejar_V,1.6,3,3,0.5477,0,0
nombre_N,2.1667,1.5,2.1667,0.4082,0.5477,0.7528
solo_A,1.4,1.8,3,0.5477,0.4472,0
corazón_N,2.8,2.4,3,0.4472,0.5477,0
lograr_V,3,3,2.6,0,0,0.5477
entender_V,3,2.8,2.6,0,0.4472,0.5477
acercar_V,2.2,3,2.6,0.4472,0,0.5477
grande_A,2,1.8,2.6,0,0.4472,0.8944
ojo_N,2.2,1.8,3,0.4472,0.4472,0
bueno_A,3,2.2,2.6,0,0.8367,0.5477
trabajar_V,2.6,3,3,0.5477,0,0
permitir_V,2.8,3,2.4,0.4472,0,0.8944
junto_R,2.6,2.2,2.6,0.5477,0.4472,0.5477
hablar_V,2.2,3,3,0.4472,0,0
hacer_V,2.4,3,2.8,0.5477,0,0.4472
tiempo_N,2,2,2.2,0.7071,0.7071,0.8367
nuevo_A,2.8,1.6,2.6,0.4472,0.5477,0.5477
mirada_N,2.4,2.6,2.8,0.5477,0.5477,0.4472
entrar_V,2.2,3,3,0.4472,0,0
cuerpo_N,2,2.2,3,0,0.4472,0
tipo_N,1.8,2,1.2,0.4472,0,0.4472
cosa_N,2,2,1.6,0,0,0.8944
volver_V,1.6,2.2,2.4,0.5477,1.0954,0.5477
propio_A,2.4,2,2.6,0.5477,0.7071,0.5477
más_R,2.8,2.2,2.2,0.4472,0.4472,0.8367
llamar_V,2.2,3,3,0.4472,0,0
canción_N,3,2,3,0,1,0
alcanzar_V,3,3,2.8,0,0,0.4472
pensar_V,2.8,2.6,3,0.4472,0.8944,0
agua_N,2.6,2,3,0.5477,0.7071,0
aire_N,2.6,2,2.2,0.5477,0.7071,1.0954
jugar_V,3,3,3,0,0,0
voz_N,2.4,2.8,2.8,0.5477,0.4472,0.4472
poder_V,2.8,2.8,2.2,0.4472,0.4472,1.0954
sentar_V,2.4,2.6,2.8,0.5477,0.8944,0.4472
mar_N,2.8,2.6,3,0.4472,0.8944,0
mirar_V,2.4,2.8,3,0.5477,0.4472,0
río_N,2.6,2.4,2.8,0.5477,0.8944,0.4472
dolor_N,1,2.6,2.8,0,0.5477,0.4472
caso_N,2,1.8,1.4,0,0.4472,0.8944
mantener_V,1.8,3,1.6,0.4472,0,0.8944
historia_N,2.4,2,2,0.5477,0.7071,1
región_N,2,1.8,1.6,0,0.4472,0.8944
abrir_V,2.4,3,3,0.5477,0,0
último_A,1.6,1.8,2.2,0.5477,0.8367,0.8367
hermano_N,2.6,2.2,2.8,0.5477,0.4472,0.4472
lugar_N,2,1.6,2,0,0.5477,0.7071
junto_A,2.4,2.2,2.4,0.5477,0.8367,0.8944
presentar_V,2.4,3,2.4,0.5477,0,0.8944
